STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_de,Demographic indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AL,Albania,2023,,16.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AM,Armenia,2015,,19.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AM,Armenia,2016,,19.6,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AM,Armenia,2017,,20.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AM,Armenia,2018,,20.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AM,Armenia,2019,,20.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AM,Armenia,2020,,20.3,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AM,Armenia,2021,,20.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AM,Armenia,2024,,19.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AT,Austria,2013,,14.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AT,Austria,2014,,14.3,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AT,Austria,2015,,14.3,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AT,Austria,2016,,14.3,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AT,Austria,2017,,14.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AT,Austria,2018,,14.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AT,Austria,2019,,14.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AT,Austria,2020,,14.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AT,Austria,2021,,14.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AT,Austria,2022,,14.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AT,Austria,2023,,14.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AT,Austria,2024,,14.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AZ,Azerbaijan,2013,,22.3,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AZ,Azerbaijan,2014,,22.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AZ,Azerbaijan,2015,,22.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AZ,Azerbaijan,2016,,22.5,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AZ,Azerbaijan,2017,,22.6,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AZ,Azerbaijan,2018,,22.6,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AZ,Azerbaijan,2019,,22.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AZ,Azerbaijan,2020,,22.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AZ,Azerbaijan,2021,,22.3,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AZ,Azerbaijan,2022,,22.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AZ,Azerbaijan,2023,,21.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,AZ,Azerbaijan,2024,,21.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BE,Belgium,2013,,17.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BE,Belgium,2014,,17.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BE,Belgium,2015,,17.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BE,Belgium,2016,,17.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BE,Belgium,2017,,17.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BE,Belgium,2018,,17.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BE,Belgium,2019,,16.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BE,Belgium,2020,,16.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BE,Belgium,2021,,16.8,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BE,Belgium,2022,,16.6,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BE,Belgium,2023,,16.5,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BE,Belgium,2024,,16.3,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BG,Bulgaria,2013,,13.8,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BG,Bulgaria,2014,,13.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BG,Bulgaria,2015,,13.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BG,Bulgaria,2016,,13.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BG,Bulgaria,2017,,13.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BG,Bulgaria,2018,,14.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BG,Bulgaria,2019,,14.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BG,Bulgaria,2020,,14.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BG,Bulgaria,2021,,14.1,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BG,Bulgaria,2022,,14.1,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BG,Bulgaria,2023,,14.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BG,Bulgaria,2024,,14.1,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BY,Belarus,2013,,15.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BY,Belarus,2014,,15.7,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BY,Belarus,2015,,16.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BY,Belarus,2016,,16.3,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BY,Belarus,2017,,16.6,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BY,Belarus,2018,,16.8,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,BY,Belarus,2019,,16.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CH,Switzerland,2013,,14.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CH,Switzerland,2014,,14.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CH,Switzerland,2015,,14.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CH,Switzerland,2016,,14.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CH,Switzerland,2017,,14.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CH,Switzerland,2018,,15.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CH,Switzerland,2019,,15.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CH,Switzerland,2020,,15.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CH,Switzerland,2021,,15.1,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CH,Switzerland,2022,,15.1,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CH,Switzerland,2023,,15.1,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CH,Switzerland,2024,,15.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CY,Cyprus,2013,,16.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CY,Cyprus,2014,,16.3,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CY,Cyprus,2015,,16.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CY,Cyprus,2016,,16.1,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CY,Cyprus,2017,,16.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CY,Cyprus,2018,,15.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CY,Cyprus,2019,,15.8,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CY,Cyprus,2020,,15.7,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CY,Cyprus,2021,,15.6,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CY,Cyprus,2022,,15.5,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CY,Cyprus,2023,,15.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CY,Cyprus,2024,,15.3,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CZ,Czechia,2013,,14.8,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CZ,Czechia,2014,,15.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CZ,Czechia,2015,,15.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CZ,Czechia,2016,,15.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CZ,Czechia,2017,,15.6,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CZ,Czechia,2018,,15.7,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CZ,Czechia,2019,,15.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CZ,Czechia,2020,,16.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CZ,Czechia,2021,,16.0,,b,break in time series,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CZ,Czechia,2022,,16.1,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CZ,Czechia,2023,,16.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,CZ,Czechia,2024,,15.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DE,Germany,2013,,13.3,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DE,Germany,2014,,13.2,,b,break in time series,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DE,Germany,2015,,13.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DE,Germany,2016,,13.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DE,Germany,2017,,13.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DE,Germany,2018,,13.5,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DE,Germany,2019,,13.6,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DE,Germany,2020,,13.7,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DE,Germany,2021,,13.8,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DE,Germany,2022,,13.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DE,Germany,2023,,14.0,,b,break in time series,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DE,Germany,2024,,13.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DK,Denmark,2013,,17.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DK,Denmark,2014,,17.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DK,Denmark,2015,,17.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DK,Denmark,2016,,16.8,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DK,Denmark,2017,,16.7,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DK,Denmark,2018,,16.6,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DK,Denmark,2019,,16.5,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DK,Denmark,2020,,16.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DK,Denmark,2021,,16.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DK,Denmark,2022,,16.1,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DK,Denmark,2023,,16.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,DK,Denmark,2024,,15.7,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA19,Euro area - 19 countries  (2015-2022),2013,,15.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA19,Euro area - 19 countries  (2015-2022),2015,,15.3,,be,"break in time series, estimated",,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA19,Euro area - 19 countries  (2015-2022),2016,,15.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA19,Euro area - 19 countries  (2015-2022),2017,,15.2,,b,break in time series,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA19,Euro area - 19 countries  (2015-2022),2018,,15.1,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA19,Euro area - 19 countries  (2015-2022),2019,,15.0,,b,break in time series,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA19,Euro area - 19 countries  (2015-2022),2020,,14.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA19,Euro area - 19 countries  (2015-2022),2021,,14.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA19,Euro area - 19 countries  (2015-2022),2022,,14.7,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA19,Euro area - 19 countries  (2015-2022),2023,,14.6,,bp,"break in time series, provisional",,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA19,Euro area - 19 countries  (2015-2022),2024,,14.4,,p,provisional,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA20,Euro area – 20 countries (from 2023),2015,,15.3,,be,"break in time series, estimated",,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA20,Euro area – 20 countries (from 2023),2016,,15.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA20,Euro area – 20 countries (from 2023),2017,,15.2,,b,break in time series,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA20,Euro area – 20 countries (from 2023),2018,,15.1,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA20,Euro area – 20 countries (from 2023),2019,,15.0,,b,break in time series,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA20,Euro area – 20 countries (from 2023),2020,,14.9,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA20,Euro area – 20 countries (from 2023),2021,,14.8,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA20,Euro area – 20 countries (from 2023),2022,,14.7,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA20,Euro area – 20 countries (from 2023),2023,,14.6,,bp,"break in time series, provisional",,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EA20,Euro area – 20 countries (from 2023),2024,,14.4,,p,provisional,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EE,Estonia,2013,,15.7,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EE,Estonia,2014,,15.8,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EE,Estonia,2015,,15.9,,b,break in time series,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EE,Estonia,2016,,16.1,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EE,Estonia,2017,,16.2,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EE,Estonia,2018,,16.3,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EE,Estonia,2019,,16.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EE,Estonia,2020,,16.5,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EE,Estonia,2021,,16.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EE,Estonia,2022,,16.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EE,Estonia,2023,,16.4,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EE,Estonia,2024,,16.0,,,,,
dataflow,ESTAT:TPS00010(1.0),Population by age group,A,Annual,PC_Y0_14,Proportion of population aged 0-14 years,EL,Greece,2013,,14.7,,,,,
